Ref map 1
Fusion : 1 , Time : 0.102098
Fusion : 2 , Time : 0.0710704
Fusion : 3 , Time : 0.0567064
Fusion : 4 , Time : 0.0556874
Fusion : 5 , Time : 0.112612
Fusion : 6 , Time : 0.0518672
Fusion : 7 , Time : 0.100144
Fusion : 8 , Time : 0.113644
Fusion : 9 , Time : 0.111477
Fusion : 10 , Time : 0.110876
Fusion : 11 , Time : 0.106778
Fusion : 12 , Time : 0.103737
Fusion : 13 , Time : 0.101745
Fusion : 14 , Time : 0.11052
Fusion : 15 , Time : 0.0808325
Fusion : 16 , Time : 0.0662059
Fusion : 17 , Time : 0.0541107
Fusion : 18 , Time : 0.0587265
Fusion : 19 , Time : 0.105918
Fusion : 20 , Time : 0.107649

Ref map 2
Fusion : 1 , Time : 0.121049
Fusion : 2 , Time : 0.121785
Fusion : 3 , Time : 0.110209
Fusion : 4 , Time : 0.110837
Fusion : 5 , Time : 0.108592
Fusion : 6 , Time : 0.0769538
Fusion : 7 , Time : 0.0873623
Fusion : 8 , Time : 0.0751146
Fusion : 9 , Time : 0.0916228
Fusion : 10 , Time : 0.0867001
Fusion : 11 , Time : 0.0817423
Fusion : 12 , Time : 0.0719974
Fusion : 13 , Time : 0.0744121
Fusion : 14 , Time : 0.13033
Fusion : 15 , Time : 0.114488
Fusion : 16 , Time : 0.123069
Fusion : 17 , Time : 0.132323
Fusion : 18 , Time : 0.101572
Fusion : 19 , Time : 0.104187
Fusion : 20 , Time : 0.107146
