Object name, object ID, wasMapped, wasAdded, wasUpdated, wasRemoved, isInGlobalMap, isInWaitingList, notInMap, existenceProbability
Chair,1,1,0,1,0,1,0,0,0.995842
Chair,1,1,0,1,0,1,0,0,0.997327
Chair,1,1,0,1,0,1,0,0,0.997865
Chair,1,1,0,1,0,1,0,0,0.898932
Chair,1,1,0,1,0,1,0,0,0.948335
Chair,1,1,0,1,0,1,0,0,0.973224
Chair,1,1,0,1,0,1,0,0,0.974127
Chair,1,1,0,1,0,1,0,0,0.94792
Chair,1,1,0,1,0,1,0,0,0.758224
Chair,1,1,0,1,0,1,0,0,0.865599
Chair,1,1,0,1,0,1,0,0,0.791824
Chair,1,1,0,1,0,1,0,0,0.838989
Chair,1,1,0,1,0,1,0,0,0.919197
Chair,1,1,0,1,0,1,0,0,0.95706
Chair,1,1,0,1,0,1,0,0,0.976992
Chair,1,1,0,1,0,1,0,0,0.927259
Chair,1,1,0,1,0,1,0,0,0.785875
Chair,1,1,0,1,0,1,0,0,0.777553
Chair,1,1,0,1,0,1,0,0,0.740501
Chair,1,1,0,1,0,1,0,0,0.868869


Table is in map : pe = 0.8093385214007782
Table,5,1,0,1,0,1,0,0,0.6901
Table,5,1,0,1,0,1,0,0,0.840952
Table,5,1,0,1,0,1,0,0,0.906962
Table,5,1,0,1,0,1,0,0,0.952538
Table,5,1,0,1,0,1,0,0,0.724545
Table,5,1,0,1,0,1,0,0,0.562272
Table,5,1,0,1,0,1,0,0,0.654677
Table,5,1,0,1,0,1,0,0,0.827041
Table,5,1,0,1,0,1,0,0,0.903521
Table,5,0,0,1,0,1,0,0,0.653521
Table,5,1,0,1,0,1,0,0,0.785584
Table,5,1,0,1,0,1,0,0,0.81338
Table,5,1,0,1,0,1,0,0,0.624589
Table,5,1,0,1,0,1,0,0,0.559819
Table,5,0,0,1,0,1,0,0,0.309819
Table,5,1,0,1,0,1,0,0,0.653879
Table,5,1,0,1,0,1,0,0,0.803228
Table,5,1,0,1,0,1,0,0,0.816999
Table,5,1,0,1,0,1,0,0,0.74976
Table,5,1,0,1,0,1,0,0,0.872934

Table 5 removed after iteration 16

Table is in map : pe = 0.8093385214007782
Table,5,1,0,1,0,1,0,0,0.6901
Table,5,1,0,1,0,1,0,0,0.840952
Table,5,1,0,1,0,1,0,0,0.906962
Table,5,1,0,1,0,1,0,0,0.952538
Table,5,1,0,1,0,1,0,0,0.724545
Table,5,1,0,1,0,1,0,0,0.562272
Table,5,1,0,1,0,1,0,0,0.654677
Table,5,1,0,1,0,1,0,0,0.827041
Table,5,1,0,1,0,1,0,0,0.903521
Table,5,0,0,1,0,1,0,0,0.653521
Table,5,1,0,1,0,1,0,0,0.785584
Table,5,1,0,1,0,1,0,0,0.81338
Table,5,1,0,1,0,1,0,0,0.624589
Table,5,1,0,1,0,1,0,0,0.559819
Table,5,0,0,1,0,1,0,0,0.309819
Table,5,1,0,1,0,1,0,0,0.653879
Table,5,0,0,1,0,1,0,0,0.403879
Table,5,0,0,0,1,0,0,1,0.153879
Table,5,0,0,0,1,0,0,1,0
Table,5,0,0,0,1,0,0,1,0


Table 5 added after iteration 5 and removed after iteration 16

Table,5,0,0,0,0,0,0,1,0
Table,5,1,0,0,0,0,0,1,0
Table,5,0,0,0,0,0,0,1,0
Table,5,0,0,0,0,0,0,1,0
Table,5,0,0,0,0,0,0,1,0
Table,5,1,1,0,0,1,0,0,0.4
Table,5,1,0,1,0,1,0,0,0.573541
Table,5,1,0,1,0,1,0,0,0.786473
Table,5,1,0,1,0,1,0,0,0.883237
Table,5,0,0,1,0,1,0,0,0.633237
Table,5,1,0,1,0,1,0,0,0.775442
Table,5,1,0,1,0,1,0,0,0.808309
Table,5,1,0,1,0,1,0,0,0.622053
Table,5,1,0,1,0,1,0,0,0.558551
Table,5,0,0,1,0,1,0,0,0.308551
Table,5,1,0,1,0,1,0,0,0.653245
Table,5,0,0,1,0,1,0,0,0.403245
Table,5,0,0,0,1,0,0,1,0.153245
Table,5,0,0,0,1,0,0,1,0
Table,5,0,0,0,1,0,0,1,0
