Class name,TP, FP, FN - Missing objects, Mean IOU, Mean CoM offset, Mean orientation offset
Fused map data
Chair,4,0,1,0.751048,0.0622903,6.86234
Couch,3,0,0,0.775998,0.131907,2.34531
Shelf,3,0,0,0.856767,0.0479858,2.06543
Table,6,0,0,0.882784,0.06672,2.17305
Fused map data
Chair,5,0,0,0.723106,0.0695718,16.2584
Couch,3,0,0,0.794695,0.120662,1.80799
Shelf,3,0,0,0.879442,0.0402819,1.73403
Table,6,0,0,0.890871,0.0602088,2.08984
Fused map data
Chair,5,0,0,0.733715,0.0660599,16.1665
Couch,3,0,0,0.804647,0.116483,2.53058
Shelf,3,0,0,0.881777,0.0368516,1.55644
Table,6,0,0,0.903149,0.0505404,1.73746
Fused map data
Chair,5,0,0,0.744253,0.0636201,5.78654
Couch,3,0,0,0.812858,0.110597,2.79945
Shelf,3,0,0,0.897076,0.0293418,1.42147
Table,6,0,0,0.903676,0.0502917,1.39353
Fused map data
Chair,5,0,0,0.74405,0.0637382,5.77553
Couch,3,0,0,0.829831,0.0996813,2.57362
Shelf,3,0,0,0.901971,0.0264048,1.41445
Table,6,0,0,0.915214,0.0415111,1.17199
Fused map data
Chair,5,0,0,0.760174,0.0601763,5.56316
Couch,3,0,0,0.848791,0.0888781,2.26363
Shelf,3,0,0,0.907443,0.0257905,1.40185
Table,6,0,0,0.927975,0.0339635,0.958788
Fused map data
Chair,5,0,0,0.765412,0.058754,5.70486
Couch,3,0,0,0.858129,0.0808485,2.12464
Shelf,3,0,0,0.910079,0.0229725,1.46178
Table,6,0,0,0.930653,0.034033,0.853955
Fused map data
Chair,5,0,0,0.76062,0.059069,15.8522
Couch,3,0,0,0.868558,0.0774887,1.79213
Shelf,3,0,0,0.906472,0.0208042,1.38121
Table,6,0,0,0.932455,0.030569,0.760301
Fused map data
Chair,5,0,0,0.761808,0.0580545,15.1137
Couch,3,0,0,0.887857,0.0704127,1.67376
Shelf,3,0,0,0.894981,0.0231831,1.39085
Table,6,0,0,0.933898,0.0303759,0.697617
Fused map data
Chair,5,0,0,0.763474,0.0577472,14.9523
Couch,3,0,0,0.897601,0.0680632,1.5984
Shelf,3,0,0,0.88864,0.0251081,1.5216
Table,6,0,0,0.939795,0.0263956,0.671633
Fused map data
Chair,5,0,0,0.771635,0.0551613,15.0265
Couch,3,0,0,0.902252,0.0676487,1.22042
Shelf,3,0,0,0.90516,0.0235977,1.68057
Table,6,0,0,0.934969,0.02777,0.676276
Fused map data
Chair,5,0,0,0.771635,0.0551613,15.0265
Couch,3,0,0,0.913704,0.0571965,0.923995
Shelf,3,0,0,0.895552,0.0240689,1.68748
Table,6,0,0,0.936728,0.028886,0.638726
Fused map data
Chair,5,0,0,0.777586,0.0530141,14.9586
Couch,3,0,0,0.906957,0.0581818,0.906619
Shelf,3,0,0,0.906885,0.0208187,1.3741
Table,6,0,0,0.94336,0.0248952,0.52627
Fused map data
Chair,5,0,0,0.774524,0.0539976,14.8063
Couch,3,0,0,0.892655,0.0639984,1.55252
Shelf,3,0,0,0.925115,0.0154328,1.36534
Table,6,0,0,0.943242,0.0242942,0.395138
Fused map data
Chair,5,0,0,0.772499,0.0532991,14.3885
Couch,3,0,0,0.897376,0.0547265,1.32581
Shelf,3,0,0,0.925115,0.0154328,1.36534
Table,6,0,0,0.940406,0.0284723,0.442415
Fused map data
Chair,5,0,0,0.77818,0.0515115,14.2712
Couch,3,0,0,0.898127,0.0543188,1.41286
Shelf,3,0,0,0.927457,0.0156648,1.33326
Table,6,0,0,0.935667,0.0304051,0.535286
Fused map data
Chair,5,0,0,0.792504,0.0469901,15.1609
Couch,3,0,0,0.912199,0.0448277,1.3844
Shelf,3,0,0,0.929588,0.0146322,1.27353
Table,6,0,0,0.938776,0.0277193,0.567701
Fused map data
Chair,5,0,0,0.794986,0.045211,15.1787
Couch,3,0,0,0.887549,0.0540492,1.98334
Shelf,3,0,0,0.931638,0.013984,1.22779
Table,6,0,0,0.943634,0.0256105,0.534202
Fused map data
Chair,5,0,0,0.78885,0.0478506,15.1596
Couch,3,0,0,0.896846,0.0498123,1.56013
Shelf,3,0,0,0.916156,0.01896,1.56713
Table,6,0,0,0.944575,0.023202,0.472292
Fused map data
Chair,5,0,0,0.79068,0.0470861,15.1812
Couch,3,0,0,0.89898,0.0496476,1.44989
Shelf,3,0,0,0.888875,0.0280849,1.3855
Table,6,0,0,0.941719,0.0231732,0.443285


new results:
reference map data
Chair,4,0,1,0.739296,0.0673849,2.36382
Couch,3,0,0,0.804084,0.104222,5.75453
Shelf,3,0,0,0.725853,0.0664988,1.06711
Table,6,0,0,0.78791,0.157583,26.7788
Fused map data
Chair,5,0,0,0.753513,0.0622709,2.33783
Couch,3,0,0,0.802407,0.124157,2.73564
Shelf,3,0,0,0.863151,0.0385761,2.25121
Table,6,0,0,0.875382,0.0714514,2.27672
Fused map data
Chair,5,0,0,0.751486,0.0637758,2.40659
Couch,3,0,0,0.81665,0.114002,2.26911
Shelf,3,0,0,0.887714,0.0312346,1.7997
Table,6,0,0,0.884442,0.0642968,2.17973
Fused map data
Chair,5,0,0,0.76749,0.0590509,2.18312
Couch,3,0,0,0.822388,0.111225,2.93771
Shelf,3,0,0,0.911992,0.0252009,1.51687
Table,6,0,0,0.89964,0.0522179,1.77647
Fused map data
Chair,5,0,0,0.770614,0.0575981,2.17423
Couch,3,0,0,0.828611,0.105963,3.12518
Shelf,3,0,0,0.914547,0.0239175,1.17212
Table,6,0,0,0.906022,0.0501104,1.4246
Fused map data
Chair,5,0,0,0.770411,0.0577162,2.16322
Couch,3,0,0,0.843025,0.095125,2.83417
Shelf,3,0,0,0.91252,0.0245147,1.15871
Table,6,0,0,0.921372,0.0411481,1.22539
Fused map data
Chair,5,0,0,0.785634,0.0545094,2.07262
Couch,3,0,0,0.858597,0.0860306,2.47211
Shelf,3,0,0,0.899333,0.0312261,1.14098
Table,6,0,0,0.932237,0.0333298,1.00133
Fused map data
Chair,5,0,0,0.792326,0.0527917,2.04484
Couch,3,0,0,0.869452,0.077073,2.30618
Shelf,3,0,0,0.916247,0.0241248,1.28816
Table,6,0,0,0.934308,0.0339084,0.890576
Fused map data
Chair,5,0,0,0.787592,0.0538706,1.93611
Couch,3,0,0,0.877023,0.0753424,1.93736
Shelf,3,0,0,0.914737,0.0205366,1.21085
Table,6,0,0,0.935339,0.0314587,0.785568
Fused map data
Chair,5,0,0,0.793506,0.0513763,1.85958
Couch,3,0,0,0.884845,0.0700742,1.69521
Shelf,3,0,0,0.905895,0.0218205,1.24405
Table,6,0,0,0.935827,0.0313407,0.717707
Fused map data
Chair,5,0,0,0.796481,0.0505978,1.74742
Couch,3,0,0,0.894275,0.0678221,1.61555
Shelf,3,0,0,0.884736,0.0274929,1.1733
Table,6,0,0,0.940215,0.0279722,0.657823
Fused map data
Chair,5,0,0,0.804143,0.0470631,1.77066
Couch,3,0,0,0.906239,0.0668527,1.29472
Shelf,3,0,0,0.880623,0.0337824,0.817177
Table,6,0,0,0.936016,0.0287895,0.695765
Fused map data
Chair,5,0,0,0.803872,0.0467591,1.56674
Couch,3,0,0,0.917904,0.0562153,0.98339
Shelf,3,0,0,0.88541,0.0305593,0.973853
