Fused map data
Chair,4,1,0.709586,0.0816155
Table,5,0,0.910837,0.0579105
Shelf,1,0,0.57339,0.116357
Sofa bed,2,0,0.79428,0.105337
Fused map data
Chair,4,1,0.773322,0.0661234
Table,5,0,0.779422,0.18832
Shelf,1,0,0.576223,0.116127
Sofa bed,2,0,0.795519,0.104031
Fused map data
Chair,4,1,0.702575,0.0853407
Table,5,0,0.774471,0.199458
Shelf,1,0,0.569934,0.117311
Sofa bed,2,0,0.796596,0.103778
Fused map data
Chair,4,1,0.744036,0.0705753
Table,5,0,0.675804,0.318759
Shelf,1,0,0.560313,0.120924
Sofa bed,2,0,0.789072,0.108245
Fused map data
Chair,4,1,0.729303,0.074229
Table,5,0,0.768904,0.185104
Shelf,1,0,0.893269,0.0214918
Sofa bed,2,0,0.796453,0.104002
Fused map data
Chair,4,1,0.690512,0.095636
Table,5,0,0.773989,0.194745
Shelf,1,0,0.590691,0.111751
Sofa bed,2,0,0.796427,0.103878
Fused map data
Chair,4,1,0.753506,0.0682201
Table,5,0,0.727862,0.220582
Shelf,1,0,0.210112,0.373205
Sofa bed,2,0,0.794075,0.104511
Fused map data
Chair,4,1,0.710382,0.0649196
Table,5,0,0.780767,0.195155
Shelf,1,0,0.586086,0.106311
Sofa bed,2,0,0.75769,0.127676
Fused map data
Chair,4,0,0.781312,0.0603793
Table,5,0,0.865504,0.078802
Shelf,1,0,0.564761,0.118278
Sofa bed,2,0,0.795289,0.104621
Fused map data
Chair,4,1,0.756756,0.0671551
Table,5,0,0.780626,0.190672
Shelf,1,0,0.580528,0.112281
Sofa bed,2,0,0.793675,0.105145
